
Bapuji Charitable Trust Sangli, E-1355 SANGLI, 22-08-1993, Sangli : Maharashtra, Dr Hemant Patil, Office- Bapuji Charitable Trust Sangli 75 : Bazar Peth Behind Vasantdada Sugar Factory: Kupwad Area. Taluka-miraj. Dist. Sangli 416406, Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Disaster Management: Education & Literacy: Health & Family Welfare: HIV/AIDS: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Minority Issues: New & Renewable Energy: Nutrition: Rural Development & Poverty Alleviation: Scientific & Industrial Research: Science & Technology: Sports: Tourism: Urban Development & Poverty Alleviation: Vocational Training: Women's Development & Empowerment: Youth Affairs:
Barahi Thakurani Baristha Nagarika Sangha, CTC NO 17805/67 of 2009-2010, 12-03-2010, Cuttack: Orissa, Niranjan Prasad Mohanty, Niranjan Prasad Mohanty I.e.s(retd) Bhanudaya Building: Kesharpur:cuttack-753001: Orissa. Phone: +916712621515. Mob: +919438384225, Aged/Elderly
Bhuvaneshwari Seva Samsthe, 28/2002-03, 14-06-2002, Gadag: Karnataka, Sri Rajesh A Shinde, Kiresur Building Near Gandhi Circle Gadag-582101, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
Chambal Ghati Gramya Jeevan Vikas Parishad, 1424/1989-90, 06-01-1990, Agra: Uttar Pradesh, Krishan Kumar Pachauri, 20: Shanti Kunj: West Arjun Nagar: Kheriya Mod Agra-282001, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Forum For Rural And Urban Integrated Transformations Fruits, P-439/07, 05-12-2007, Pathanamthitta: Kerala, Muhamed Ansari N, Kanraj Bhavan: Makkam Kunnu Po. Pathanamthitta District: Kerala Pin: 689645, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Human Rights: Legal Awareness & Aid: Panchayati Raj: Right to Information & Advocacy: Rural Development & Poverty Alleviation: Urban Development & Poverty Alleviation: Vocational Training: Women's Development & Empowerment: Youth Affairs
Gramin Utthan Sewa Samiti, 210, 03-05-2007, Katihar: Bihar, Md Musraful, Vill- Chmarpara: Po- Dharhan: Ps- Pranpur Dist- Katihar (bihar) Pin- 854113, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Gramvasini Bharatmata, 1340, 30-01-2004, Patna: Bihar, Sri Shree Kreeshna Sahay, R. O:- Flat No- 404: Narayanshree Apartment: Block- B-1: Mazar Gali: Seikhpura: Razabazar: Patna: Pi.- 800 004: Bihar B.o:- At.+p.o.- Nasej: P.s.- Kudra: Distt.- Kaimur(bhabhua): Bihar, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
Jan Sahyog Evam Gramin Vikas Sansthan, 211/2005-2006, 03-05-2005, Lucknow: Uttar Pradesh, Raj Kishor Singh, D-137/8 Indira Nagar Lucknow : Pincode:- 226016, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Food Processing: Health & Family Welfare: HIV/AIDS: Human Rights: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Nutrition: Panchayati Raj: Prisoner's Issues: Right to Information & Advocacy: Rural Development & Poverty Alleviation: Science & Technology
Kerala Agency For Research And Rural Development, 533/2001, 01-08-2001, Nilambur: Kerala, Aryadan Shoukath, Kerala Agency For Research And Rural Development Kinsotal Building: Hospital Road Nilambur Malappuram Kerala Pin:679329, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises: New & Renewable Energy
Kerala Social Development Society, I-163/97, 06-08-1997, Idukki: Kerala, Adv Thomas Perumana, Adv Thomas Perumana:managing Director: Kerala Social Development Society: Kattappana South P.o: Idukki:kerala: Pin- 685515, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises: New & Renewable Energy: Nutrition: Panchayati Raj
Kutumba Shikshana Samsthe, 230/SOR/SMG/95-96, 14-12-1995, Shimoga: Karnataka, Eshwarappa C, Kutumba Shikshana Samsthe (r) Kallahalli: Vinobanagara: Shimoga-577204., Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Leads Legal Education And Action For The Development Of Society, 327/1996, 11-09-1996, Vijayawada: Andhra Pradesh, Indupalli Nagendra Rao, I.nagendra Rao:president: Leads-legal Education And Action For The Development Of Society: 4-95:dum-dum Gardens: Nuzvid-521201:krishna District: Andhra Pradesh., Aged/Elderly: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Human Rights: Legal Awareness & Aid: Land Resources: Micro Finance (SHGs): Right to Information & Advocacy: Rural Development & Poverty Alleviation: Tribal Affairs: Vocational Training: Women's Development & Empowerment
Manav Vikas Bahuudeshiya Sevabhavi Sanstha, F8482, 10-05-2000, Latur: Maharashtra, Shivputra Kahinathappa Shivange, Old Ausa Raod Behind B And C Quarters Latur413531, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Nur Zhan Qurasi Memorial Educational Society, 366/2006-07, 10-07-2006, Faizabad: Uttar Pradesh, Akhilendra Pathak, Mohalla- Bariarpurva: Dadua Bazar: Post-badgon: Distt- Gonda: Pin- 271002, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
S S Muthu Chettiar Educational Charity Trust, 200800095/IV/2008, 27-02-2008, Rajapalayam: Tamil Nadu, Sadasivam M, S S Muthu Chettiar Education Charity Trust 117/23a: Pethiah Street: Rajapalayam - 626117 Virudhunagar District: Tamil Nadu, Aged/Elderly: Children: Dalit Upliftment: Education & Literacy: Health & Family Welfare: HIV/AIDS: Human Rights: Legal Awareness & Aid: Micro Finance (SHGs): Vocational Training: Women's Development & Empowerment
Sarna Institute Of Social Service, 1090, 05-02-2009, Ranchi: Jharkhand, Mahadeb Murmu, Sarna Institute Of Social Service : Chakulia At-naya Bazar:chakulia:opposite Hp Petrol Pump. P.o & P.s-chakulia Dist-east Singhbhum State-jharkhand Pin-832301, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
Self Help Association, 2959/Imphal District of 1993, 30-10-1993, Imphal: Manipur, I Loyangamba, Chingamakha Phura Makhong Singjamei: Imphal West District: Manipur: Pin 795008, Aged/Elderly: Agriculture: Art & Culture: Differently Abled: Drinking Water: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Vocational Training: Women's Development & Empowerment: Youth Affairs
Shri Saibalaji Foundation, Maharashtra/199/2008/Nashik, 23-05-2008, Nashik: Maharashtra, Tushar Pagar, 1: Vaishali Apartments: Opp-mayors Bunglow: Tilakwadi, Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises: New & Renewable Energy:
Shri Vighnaharta Shikshan Kreeda Bahu Uddeshiya Sanstha, MHA350/2013, 08-03-2013, :, Shri Shankar Vitthal Khandare, Plot 288 Gopal Nagar Bhatiya Layout Khamgaon, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: New & Renewable Energy: Nutrition
Siliguri Brikho Pasu Manush Bandhu Samity, S/1L/86579, 02-01-2012, Kolkata: West Bengal, Gopal Debnath, Shiv Mandir Road: Punjabi Para P.o-siliguri:dist-hooghly:pin-734001, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Sns Foundation, 6368/BN-4/VL-1964/page 134-153, 15-03-1976, New Delhi: Delhi, Jagdish C Anand, Sns Foundation 88-89: Industrial Development Colony Mehrauli Road: Gurgaon - 122 001 (haryana, Aged/Elderly: Agriculture: Art & Culture: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Micro Finance (SHGs): Panchayati Raj: Rural Development & Poverty Alleviation: Vocational Training: Women's Development & Empowerment: Youth Affairs
Social Service Society, 1137 of 1972, 27-10-1972, Imphal: Manipur, Y Premila Chanu, Khurai Chaithabi Leirak: Po Lamlong: Imphal East District: Manipur: Pin 795010, Aged/Elderly: Agriculture: Art & Culture: Differently Abled: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Vocational Training: Women's Development & Empowerment: Youth Affairs
Society Of Total Social Edul And Econ Devsoftseed, NG/254/C/159 of 1998-99, 25-09-1998, Guwhati: Assam, Mr Surendra Kumar Borthakur, Head Office- P.o.& Vill- Kaliabor Kuwaritol P.s.- Kaliabor Dist- Nagaon Assam Pin-782137, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Micro Finance (SHGs): Minority Issues: Nutrition: Panchayati Raj: Right to Information & Advocacy: Rural Development & Poverty Alleviation: Sports:
Sri Venkateswara Educational And Health Rural Development Society, 88/1996, 29-01-1996, Anantapur: Karnataka, K Basavaraju, Sri Venkateswara Educational And Health Rural Development Society 10th Watd Vijayapura Town Devanahalli Taluk Bangalore Rural Dist Karnataka, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
The Indigenous World, 185 Imphal District of 1987, 18-07-1987, Imphal: Manipur, Ph Manibabu Sharma, Soibam Leikai Khanglabung: Po Imphal: Imphal East District: Manipur: Pin 795001, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Differently Abled: Disaster Management: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Micro Finance (SHGs): Rural Development & Poverty Alleviation: Sports: Vocational Training: Water Resources: Women's Development & Empowerment: Youth Affairs
Twelve Kapat Vivekananda Samaj O Janakalyan Protisthan, S/IL/39605, 21-09-2006, Kolkata: West Bengal, Paban Kumar Bikram, 12 Kapat Vivekananda Samaj-o- Janakalyan Protisthan: Polenight 12: Kapat: Salt Lake: Sector-v Ps- Purba Bidhanagar: Post-krishnapur Mission Bazar Kolkata-700102 Dist-north 24 Paragana West Bengal, Aged/Elderly: Agriculture: Art & Culture: Children: Drinking Water: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Legal Awareness & Aid: Labour & Employment: Micro Finance (SHGs): Micro Small & Medium Enterprises: New & Renewable Energy: Nutrition: Right to Information & Advocacy: Science & Technology: Sports: Tourism: Vocational Training: Water Resources: Women's Development & Empowerment: Youth Affairs
Umbrella Foundation, 537 of 2005, 11-08-2005, Imphal East: Manipur, Mk Imran, Hafeez Hatta: Minuthong: P.o. Porompat:pin No. 795001: Imphal East Tdistrict: Manipur. Administrative Office : Yairipok Ningthounai Mayai Leikai: Imphal East District: Manipur Pin No. 795149, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Children: Civic Issues: Differently Abled: Disaster Management: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Minority Issues: Micro Small & Medium Enterprises: New & Renewable Energy: Nutrition: Panchayati Raj
A Bless Of Creator Society, 68/jaipur/2009-10, 01-05-2009, Jaipur: Rajasthan, Pankaj Gupta, C-12:lal Kothi Shopping Centre :between Hotal Jaipur Palace And Laxmi Mandri Cinema :tonk Phatak :jaipur-302015, Aged/Elderly: Agriculture: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: HIV/AIDS: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises: Right to Information & Advocacy: Rural Development & Poverty Alleviation: Scientific & Industrial Research: Science & Technology: Tribal Affairs: Tourism: Women's Development & Empowerment
A C Arun Charitable Trust, 1620/2007, 04-06-2007, Vellore: Tamil Nadu, A C Arun, 3/447 Gangai Amman Koil Street Mamandur Village & Post Arni Tk: Tiruvannamalai District Pin 632 317, Aged/Elderly: Agriculture: Children: Civic Issues: Differently Abled: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: HIV/AIDS: Legal Awareness & Aid: Micro Finance (SHGs): Nutrition: Panchayati Raj: Rural Development & Poverty Alleviation: Tribal Affairs: Urban Development & Poverty Alleviation: Vocational Training: Water Resources: Women's Development & Empowerment: Youth Affairs
A H Gram Vikas Samiti, 338/2006-07, 12-07-2006, Allahabad: Uttar Pradesh, Aftab Ahmad Khan, 150/77-a Muir Road Rajapur Allahabad Pin 211001, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Differently Abled: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Labour & Employment: Panchayati Raj: Rural Development & Poverty Alleviation: Scientific & Industrial Research: Tribal Affairs: Urban Development & Poverty Alleviation: Vocational Training: Water Resources: Women's Development & Empowerment: Youth Affairs
A K Shiksha Evam Samaj Sewi Sanstha, 1167/2002-2003, 02-08-2002, Lucknow: Uttar Pradesh, Azhar Iqbal, 563ka/88:shyam Nagar: Alambagh: Lucknow-226005, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Children: Drinking Water: Education & Literacy: Environment & Forests: HIV/AIDS: Human Rights: Minority Issues: Tribal Affairs: Vocational Training: Youth Affairs
A M M A Ngo, 9954/1999, 24-12-1999, Hyderabad: Andhra Pradesh, Ankari Kumar, Amma Ngo: 2-15/7:near Bus Depot: Manthani-505184: District Karimnagar: Telangana State: India, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
A N G E L, SBL NO.5802 39 of 2003 2004, 08-03-2004, Sambalpur: Orissa, Asish John Kumar, At.by Pass Road: P.o. Kuchinda: Dist. Sambalpur: Pin 768222: Orissa: India., Aged/Elderly: Agriculture: Children: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Human Rights: Legal Awareness & Aid: Micro Finance (SHGs): Nutrition: Panchayati Raj: Right to Information & Advocacy: Rural Development & Poverty Alleviation: Sports: Tribal Affairs: Urban Development & Poverty Alleviation: Vocational Training: Water Resources: Women's Development & Empowerment: Youth Affairs
A Pothilinga Yadav Educational And Charitable Trust, 40/2004, 02-09-2004, Vasudevanallur: Tamil Nadu, A P Gangatharan, A Pothilinga Yadav Educational & Charitable Trust No. 31: Vaniga Valagam: Market Raod: Vasudevanallur - 627758 Tirunelvelli Dist: Tamil Nadu, Aged/Elderly: Children: Dalit Upliftment: Education & Literacy: Health & Family Welfare: HIV/AIDS: Micro Finance (SHGs): Urban Development & Poverty Alleviation: Women's Development & Empowerment
A R Trust, 137, 11-05-2010, Meerut: Uttar Pradesh, Ashok Kumar Vasishtha, A R Trust Vasishtha Place 92/2 Thapar Nagar Meerut 250001, Aged/Elderly: Children: Dalit Upliftment: Education & Literacy: Environment & Forests: Health & Family Welfare: HIV/AIDS: Vocational Training: Women's Development & Empowerment
A S Muslim Educational Foundation Society, 638/2001-2002, 11-09-2001, Moradabad: Uttar Pradesh, Imran Khan, Prem Vihar Colony: Kailsa Bye Pass Road:, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
A Vital Institute For Rural Advancement And Leadership, 550/2000-2001, 20-11-2000, New Tehri: Uttarkhand, Puneet Singh, Aviral Block Road Chamba Dist Tehri Gharwal Uttarakhand Pin No 249145, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
Aaa Yatn, 482/2011, 01-07-2011, Shimla: Himachal Pradesh, Gaurav Bhardwaj, Yatn (youth Association For Transforming Nation) Bhardwaj Building Gandhi Nagar Kullu H.p 175101, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
